Feature,Linear Regression,Ridge (α=1.0),Lasso (α=1.0),"ElasticNet (α=1.0, ρ=0.5)"
total_sqft,87.18837443054109,87.5150036220391,90.51047736980425,54.09798091756488
bath,10.00979810000051,10.408015027489235,6.94649540998361,13.704682946155868
balcony,-0.6097844397856989,-0.6894606034726077,-0.1422930539310745,0.1003890319250974
bhk,-11.811564544734978,-12.167047195113073,-7.4910077295109305,6.463287678228786
location_1st Phase JP Nagar,41.67282912724559,21.04158119709167,0.0,0.0
location_5th Phase JP Nagar,9.457122683656564,-9.300563648156597,-0.0,-0.0
location_6th Phase JP Nagar,39.35161348308483,18.456688342721755,0.0,0.0
location_7th Phase JP Nagar,29.581612068564084,10.278183966726019,0.0,0.0
location_8th Phase JP Nagar,1.1629330528924555,-17.308876906927786,-0.0,-0.0
location_9th Phase JP Nagar,7.06753137546724,-11.534861182441706,-0.0,-0.0
location_Abbigere,1.031224375155844,-17.061715379840436,-0.0,-0.0
location_Akshaya Nagar,5.26734925018863,-13.565414456484033,-0.0,-0.0
location_Ambalipura,10.399370844939483,-8.317000304363502,-0.0,-0.0
location_Ambedkar Nagar,9.814896149561335,-9.254787402486524,-0.0,-0.0
location_Amruthahalli,14.800831319439311,-4.09262506644114,-0.0,-0.0
location_Anandapura,-5.55103617947001,-23.36799339536805,-0.0,-0.0
location_Ananth Nagar,6.662830965639685,-11.714272105762506,-0.0,-0.0
location_Anekal,0.5330020616636517,-16.980203390693504,0.0,-0.0
location_Anjanapura,-0.20959776723584866,-17.93602782320215,-0.0,-0.0
location_Ardendale,-0.7988433225565679,-18.932481344192528,-0.0,-0.0
location_Arekere,13.708617905149428,-4.926796660146359,-0.0,-0.0
location_Attibele,15.46327917655561,-3.4005211051360162,-0.0,-0.0
location_BTM 2nd Stage,56.714249347360294,35.888697102660906,0.0,0.0
location_BTM Layout,16.91307623260062,-1.9927596926522797,-0.0,-0.0
location_Babusapalaya,1.0200253610036327,-17.085605932270003,-0.0,-0.0
location_Balagere,30.95440395592972,11.006133012037802,0.0,0.0
location_Banashankari,14.89316273101916,-4.130575652194273,-0.0,-0.0
location_Banashankari Stage II,134.7566826121136,106.08996670970271,0.0,0.0
location_Banashankari Stage III,17.406963619204138,-1.6668492519894347,-0.0,-0.0
location_Banashankari Stage V,-2.7582325798794862,-19.504558244648496,-0.0,-0.0
location_Banaswadi,9.66126392277555,-8.336939971381238,-0.0,-0.0
location_Bannerghatta Road,4.884377303214674,-14.264304598673544,-0.0,-0.0
location_Basavangudi,73.0698898852736,50.756783814022235,0.0,0.0
location_Battarahalli,-3.804054155504209,-21.565533274184947,-0.0,-0.0
location_Begur,-4.271332764055396,-21.45426450964628,-0.0,-0.0
location_Begur Road,-7.646540895376449,-26.117076158354998,-0.0,-0.0
location_Bellandur,9.698687548820203,-9.457687086330305,-0.0,-0.0
location_Benson Town,132.26422132529228,100.16404245658681,0.0,0.0
location_Bhoganhalli,13.553407764049105,-5.556812089058717,-0.0,-0.0
location_Billekahalli,20.093808492804744,0.8145084974326486,0.0,-0.0
location_Binny Pete,33.686071332715265,12.62921313420818,0.0,0.0
location_Bisuvanahalli,18.764282948968237,-0.11828835684912233,0.0,-0.0
location_Bommanahalli,2.57703109624644,-15.228201520342655,-0.0,-0.0
location_Bommasandra,3.9676298165448074,-14.446392494308585,-0.0,-0.0
location_Bommasandra Industrial Area,6.9889547345480025,-10.949376384748948,-0.0,-0.0
location_Brookefield,16.101085316391,-2.9375237499669584,-0.0,-0.0
location_Budigere,2.6221210615482384,-16.224487436148316,-0.0,-0.0
location_CV Raman Nagar,18.78916165465916,-0.3299284425892124,0.0,-0.0
location_Chamrajpet,63.34878970928491,38.83025034142395,0.0,0.0
location_Chandapura,5.0327460106640345,-13.77863107320221,-0.0,-0.0
location_Channasandra,-1.6362680038669755,-20.114383593923026,-0.0,-0.0
location_Chikkalasandra,13.976148291312922,-5.021769952562578,-0.0,-0.0
location_Choodasandra,16.091679683338693,-2.9004172278548284,-0.0,-0.0
location_Cunningham Road,544.7981799117157,475.9209866227912,0.0,0.6269154140995712
location_Devanahalli,10.864522099697918,-8.965959681200022,-0.0,-0.0
location_Dodda Nekkundi,9.057751607994508,-9.650885798965637,-0.0,-0.0
location_Doddathoguru,4.518419924983041,-13.709588270518392,-0.0,-0.0
location_Domlur,59.094416175672634,37.49476281656682,0.0,0.0
