Feature,Coefficient,Abs_Coefficient
location_Cunningham Road,544.7981799117167,544.7981799117167
availability_20-Jul,387.5538354170013,387.5538354170013
availability_20-Apr,185.38899364437896,185.38899364437896
availability_20-May,175.09563071829072,175.09563071829072
location_Rajaji Nagar,163.12225457803606,163.12225457803606
location_Indira Nagar,148.83734173032457,148.83734173032457
location_Malleshwaram,137.624204405261,137.624204405261
location_Banashankari Stage II,134.75668261211462,134.75668261211462
location_Benson Town,132.26422132529206,132.26422132529206
availability_18-Jan,112.56901088874304,112.56901088874304
total_sqft,87.18837443054277,87.18837443054277
location_Koramangala,84.29482748513448,84.29482748513448
location_Basavangudi,73.06988988527436,73.06988988527436
location_Frazer Town,70.62947988259349,70.62947988259349
availability_19-Jan,68.64782902915803,68.64782902915803
availability_16-Sep,-66.07737317387048,66.07737317387048
location_Chamrajpet,63.34878970928568,63.34878970928568
location_Hosakerehalli,63.22943321797103,63.22943321797103
location_Domlur,59.094416175673324,59.094416175673324
location_BTM 2nd Stage,56.71424934736041,56.71424934736041
availability_16-Nov,-55.70783762874233,55.70783762874233
location_Hebbal Kempapura,55.56621367134491,55.56621367134491
location_Ulsoor,53.98076278357349,53.98076278357349
availability_15-Dec,52.00699652556567,52.00699652556567
location_Sector 7 HSR Layout,50.16719340117991,50.16719340117991
location_Sanjay nagar,43.6151812551438,43.6151812551438
location_1st Phase JP Nagar,41.67282912724568,41.67282912724568
location_6th Phase JP Nagar,39.35161348308529,39.35161348308529
area_type_Plot  Area,39.05007579445666,39.05007579445666
availability_20-Feb,-36.27358659084487,36.27358659084487
availability_17-Apr,-35.97237431332329,35.97237431332329
location_HRBR Layout,35.794048994764836,35.794048994764836
location_other,35.407860745056524,35.407860745056524
location_Lakshminarayana Pura,34.622916276644375,34.622916276644375
availability_16-Dec,-34.38970918780089,34.38970918780089
location_Kundalahalli,34.137939053968644,34.137939053968644
location_Binny Pete,33.686071332715706,33.686071332715706
location_Hebbal,33.30264832843774,33.30264832843774
availability_14-Nov,-32.74574503309211,32.74574503309211
availability_21-Aug,-31.96232654394611,31.96232654394611
location_Vijayanagar,31.247468398979855,31.247468398979855
availability_17-May,-31.05493591159751,31.05493591159751
location_Balagere,30.95440395593053,30.95440395593053
availability_18-Jul,-30.420338417114174,30.420338417114174
location_R.T. Nagar,29.75671765269449,29.75671765269449
location_7th Phase JP Nagar,29.58161206856488,29.58161206856488
location_Tumkur Road,29.1699212797168,29.1699212797168
availability_22-Jun,-28.289468365561568,28.289468365561568
location_Kaggalipura,28.067848778588598,28.067848778588598
availability_19-Jul,-28.063245784427615,28.063245784427615
location_Old Airport Road,28.018054167181653,28.018054167181653
location_OMBR Layout,27.78727808678284,27.78727808678284
availability_17-Oct,-27.72063718486526,27.72063718486526
availability_18-Sep,-27.489368744410132,27.489368744410132
availability_19-May,-27.170827767931215,27.170827767931215
location_Kathriguppe,27.022216114249346,27.022216114249346
availability_17-Jan,-26.85277212006674,26.85277212006674
location_Thubarahalli,26.697595626946764,26.697595626946764
location_Sahakara Nagar,25.939376739464457,25.939376739464457
location_Kenchenahalli,25.934738935775272,25.934738935775272
location_Panathur,24.888942294487478,24.888942294487478
location_Kambipura,24.822088682365248,24.822088682365248
location_HBR Layout,24.319619044863863,24.319619044863863
availability_18-Oct,-24.11456265023,24.11456265023
availability_18-Dec,-22.575338397365982,22.575338397365982
location_Jalahalli,22.166075499819524,22.166075499819524
location_Subramanyapura,22.08412158625073,22.08412158625073
location_Harlur,21.95324094509498,21.95324094509498
availability_22-Jan,-21.63145602776033,21.63145602776033
availability_16-Jul,21.420420093681116,21.420420093681116
availability_21-Nov,-20.97853416591189,20.97853416591189
availability_18-Nov,-20.668614471033052,20.668614471033052
location_Kaval Byrasandra,20.29753829499146,20.29753829499146
location_Billekahalli,20.093808492805305,20.093808492805305
availability_16-Oct,20.039747473682,20.039747473682
availability_17-Dec,-19.219084975650187,19.219084975650187
location_Yelachenahalli,19.19464478378321,19.19464478378321
location_Padmanabhanagar,19.13782091842168,19.13782091842168
location_CV Raman Nagar,18.789161654659686,18.789161654659686
availability_18-Aug,-18.77829436247946,18.77829436247946
location_Bisuvanahalli,18.7642829489687,18.7642829489687
location_Jigani,18.755637900932296,18.755637900932296
location_Green Glen Layout,18.213133014049625,18.213133014049625
location_Lingadheeranahalli,18.199664890353922,18.199664890353922
location_Hulimavu,18.161773097775296,18.161773097775296
location_Nagarbhavi,18.063967126964783,18.063967126964783
location_Yelahanka New Town,18.00256741678411,18.00256741678411
location_Kaikondrahalli,17.98772865799681,17.98772865799681
location_Kodigehaali,17.88278652394804,17.88278652394804
location_Kasturi Nagar,17.837235700004243,17.837235700004243
location_Yeshwanthpur,17.812673631840507,17.812673631840507
availability_19-Apr,-17.568850558791677,17.568850558791677
location_Banashankari Stage III,17.406963619204834,17.406963619204834
availability_21-Jun,-17.227362235706433,17.227362235706433
availability_22-Nov,-16.96754437821342,16.96754437821342
location_BTM Layout,16.913076232601117,16.913076232601117
availability_18-Jun,-16.858925340372405,16.858925340372405
availability_19-Jun,-16.51421883867414,16.51421883867414
availability_17-Jun,-16.36635035083244,16.36635035083244
